# Forces       
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         forces(pressure viscous porous)	moments(pressure viscous porous)
2.89668        	((1.13554959e+00 5.66345998e-06 -3.77291720e-19) (2.44696508e-01 -1.12306214e-06 1.37152501e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.06776089e-20 1.83481216e-19 4.10550554e-12) (-2.11229566e-18 9.24502014e-21 -1.18316328e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.95203        	((1.13918364e+00 5.75598107e-06 -3.75624871e-19) (2.43738339e-01 -1.21388042e-06 1.34512934e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.07783673e-20 1.84164359e-19 3.27820225e-12) (-2.11646360e-18 9.12246212e-21 -1.11500598e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.00756        	((1.14279083e+00 5.45250135e-06 -3.74086939e-19) (2.42860239e-01 -1.28548078e-06 1.31688588e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.08772388e-20 1.84846096e-19 2.94711488e-12) (-2.11791237e-18 8.97677085e-21 -1.03649858e-06) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.06309        	((1.14501325e+00 -2.04664080e-06 -3.72221326e-19) (2.41989446e-01 -1.16810538e-06 1.29139953e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.09667255e-20 1.85282322e-19 2.56701214e-12) (-2.11722649e-18 8.81256908e-21 -9.42997376e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.1188         	((1.14739365e+00 3.65215286e-06 -3.70542444e-19) (2.41145489e-01 -1.12618610e-06 1.27982377e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.10761127e-20 1.85723676e-19 2.81421501e-12) (-2.13015778e-18 8.71574929e-21 -8.41270257e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.17452        	((1.14844186e+00 3.32249863e-06 -3.68800923e-19) (2.40313847e-01 -1.14602904e-06 1.27062364e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.11445945e-20 1.85948908e-19 3.04034716e-12) (-2.15256831e-18 8.63608952e-21 -7.26061176e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.23023        	((1.15021337e+00 5.52747450e-06 -3.67041351e-19) (2.39491335e-01 -1.15078248e-06 1.21430500e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.12441925e-20 1.86287790e-19 3.28145974e-12) (-2.17168439e-18 8.25620282e-21 -5.31258145e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.28613        	((1.15131618e+00 5.24622834e-06 -3.65341163e-19) (2.38671736e-01 -1.13261235e-06 1.15385439e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.13343172e-20 1.86507090e-19 4.67111896e-12) (-2.16974862e-18 7.83193907e-21 -2.83224913e-07) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.34203        	((1.15114421e+00 6.09329133e-06 -3.63550933e-19) (2.37872522e-01 -1.11324702e-06 1.14968478e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.14159500e-20 1.86502144e-19 6.02168402e-12) (-2.15324332e-18 7.78001261e-21 -8.43400986e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.39793        	((1.15086135e+00 8.16554403e-06 -3.61806877e-19) (2.37093453e-01 -1.08428963e-06 1.18555239e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.14926788e-20 1.86474976e-19 7.07997810e-12) (-2.13725157e-18 7.98851753e-21 3.05140836e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.45402        	((1.14934219e+00 8.93775574e-06 -3.59771186e-19) (2.36325424e-01 -1.03616839e-06 1.22024480e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.15524101e-20 1.86248167e-19 7.78006023e-12) (-2.12089685e-18 8.19623483e-21 7.90619820e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.5101         	((1.14805695e+00 1.17015059e-05 -3.57761844e-19) (2.35574609e-01 -9.46046468e-07 1.23556261e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.16228066e-20 1.86051090e-19 7.70147596e-12) (-2.09556378e-18 8.29603659e-21 7.86498763e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
3.56638        	((1.14685876e+00 1.32136015e-05 -3.56005654e-19) (2.34841732e-01 -8.24530400e-07 1.25470689e-20) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((-1.16886606e-20 1.85870656e-19 7.83931232e-12) (-2.06921389e-18 8.41231327e-21 1.19455307e-08) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
