# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
212            	-4.26443794e-09	1.62193599e+00	6.91389540e-09	-8.07490239e-10	7.72138564e-09
213            	-4.21282611e-09	1.62189830e+00	5.63747116e-09	-1.39409053e-09	7.03156169e-09
214            	-4.15726700e-09	1.62186163e+00	8.40224049e-09	4.38532384e-11	8.35838725e-09
215            	-4.09653967e-09	1.62182595e+00	1.15081463e-08	1.65753349e-09	9.85061283e-09
216            	-4.03372825e-09	1.62179122e+00	1.21215183e-08	2.02703088e-09	1.00944874e-08
217            	-3.97236445e-09	1.62175742e+00	1.07105769e-08	1.38292402e-09	9.32765291e-09
218            	-3.91321192e-09	1.62172453e+00	9.50674148e-09	8.40158820e-10	8.66658266e-09
219            	-3.85453640e-09	1.62169252e+00	9.79481183e-09	1.04286952e-09	8.75194231e-09
220            	-3.79459767e-09	1.62166138e+00	1.10074738e-08	1.70913924e-09	9.29833458e-09
221            	-3.73338996e-09	1.62163108e+00	1.18809707e-08	2.20709539e-09	9.67387531e-09
222            	-3.67223668e-09	1.62160158e+00	1.18840126e-08	2.26976963e-09	9.61424299e-09
223            	-3.61227004e-09	1.62157288e+00	1.14746527e-08	2.12505631e-09	9.34959639e-09
224            	-3.55353780e-09	1.62154495e+00	1.13360682e-08	2.11449628e-09	9.22157188e-09
225            	-3.49536932e-09	1.62151777e+00	1.16562606e-08	2.33276097e-09	9.32349961e-09
226            	-3.43727185e-09	1.62149132e+00	1.21160325e-08	2.62074439e-09	9.49528809e-09
227            	-3.37936758e-09	1.62146558e+00	1.23585985e-08	2.79993169e-09	9.55866684e-09
228            	-3.32211792e-09	1.62144053e+00	1.23370789e-08	2.84642150e-09	9.49065735e-09
229            	-3.26581467e-09	1.62141616e+00	1.22543679e-08	2.86136930e-09	9.39299864e-09
230            	-3.21046135e-09	1.62139243e+00	1.19372391e-08	2.75815819e-09	9.17908089e-09
231            	-3.15575418e-09	1.62136934e+00	1.22146010e-08	2.95154631e-09	9.26305467e-09
232            	-3.10025619e-09	1.62134688e+00	1.27263376e-08	3.26291261e-09	9.46342498e-09
233            	-3.04516470e-09	1.62132502e+00	1.29377927e-08	3.42373167e-09	9.51406107e-09
234            	-2.99781699e-09	1.62130374e+00	7.07666034e-10	-2.64398397e-09	3.35165001e-09
235            	-2.96207300e-09	1.62128303e+00	3.07811426e-09	-1.42301587e-09	4.50113013e-09
236            	-2.91281566e-09	1.62126288e+00	1.30863854e-08	3.63037705e-09	9.45600837e-09
237            	-2.84906893e-09	1.62124328e+00	1.89229720e-08	6.61241708e-09	1.23105549e-08
238            	-2.78369831e-09	1.62122420e+00	1.65626618e-08	5.49763257e-09	1.10650292e-08
239            	-2.72750074e-09	1.62120561e+00	1.03242522e-08	2.43462535e-09	7.88962684e-09
240            	-2.68005466e-09	1.62118754e+00	7.86140233e-09	1.25064651e-09	6.61075582e-09
241            	-2.63189611e-09	1.62116996e+00	1.01717180e-08	2.45396292e-09	7.71775513e-09
242            	-2.57936754e-09	1.62115284e+00	1.33680717e-08	4.10466829e-09	9.26340337e-09
243            	-2.52451570e-09	1.62113619e+00	1.40059021e-08	4.47843535e-09	9.52746675e-09
244            	-2.47136140e-09	1.62111997e+00	1.22041692e-08	3.63072322e-09	8.57344602e-09
245            	-2.42152862e-09	1.62110419e+00	1.03383698e-08	2.74765627e-09	7.59071350e-09
246            	-2.37349494e-09	1.62108884e+00	1.00386280e-08	2.64581907e-09	7.39280895e-09
247            	-2.32499697e-09	1.62107390e+00	1.09018260e-08	3.12591604e-09	7.77590997e-09
