# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
6.50113        	8.33585593e-09	4.45698242e-01	-9.06317373e-05	-4.53075328e-05	-4.53242045e-05
6.53926        	8.46326978e-09	4.44624753e-01	-9.02628928e-05	-4.51229831e-05	-4.51399097e-05
6.57739        	1.38697785e-08	4.43019745e-01	-8.84838553e-05	-4.42280579e-05	-4.42557974e-05
6.61553        	4.06700870e-09	4.41007607e-01	-8.55630795e-05	-4.27774727e-05	-4.27856068e-05
6.65366        	1.18649060e-08	4.38849371e-01	-8.05262015e-05	-4.02512359e-05	-4.02749657e-05
6.69179        	-3.42460977e-09	4.36596717e-01	-8.00336219e-05	-4.00202356e-05	-4.00133864e-05
6.73003        	-2.81297719e-09	4.34324907e-01	-8.30438426e-05	-4.15247343e-05	-4.15191083e-05
6.76828        	-1.36338446e-08	4.31805931e-01	-7.84805410e-05	-3.92539043e-05	-3.92266366e-05
6.80652        	-1.76816714e-08	4.28936235e-01	-8.15425675e-05	-4.07889654e-05	-4.07536021e-05
6.84476        	-2.50499807e-08	4.26479776e-01	-5.76289530e-05	-2.88395265e-05	-2.87894265e-05
6.883          	-4.22840301e-08	4.23595094e-01	-6.74035870e-05	-3.37440776e-05	-3.36595095e-05
6.92124        	-4.16302681e-08	4.21183660e-01	-2.58031880e-05	-1.29432243e-05	-1.28599637e-05
6.95949        	-6.89439426e-08	4.17887896e-01	-7.64478555e-05	-3.82928717e-05	-3.81549838e-05
6.99773        	-5.64813073e-08	4.14782942e-01	-6.06952917e-05	-3.04041272e-05	-3.02911646e-05
7.03597        	-9.90107104e-08	4.12242603e-01	-5.22645305e-05	-2.62312759e-05	-2.60332545e-05
7.07432        	-4.11565358e-08	4.09801629e-01	-5.02911242e-05	-2.51867186e-05	-2.51044056e-05
7.11268        	-7.34826359e-08	4.07309867e-01	-6.19002995e-05	-3.10236324e-05	-3.08766671e-05
7.15103        	2.05426840e-07	4.05070416e-01	-4.70480972e-05	-2.33186218e-05	-2.37294755e-05
7.18939        	-1.69450576e-07	4.02770286e-01	-5.04559330e-05	-2.53974171e-05	-2.50585159e-05
7.22774        	-2.74375139e-07	4.00503197e-01	-5.35136753e-05	-2.70312128e-05	-2.64824625e-05
7.2661         	-1.89826764e-07	3.98033058e-01	-5.40274565e-05	-2.72035550e-05	-2.68239015e-05
