# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
11.3501        	-7.74804417e-07	1.08899490e+00	-3.28104519e-06	-2.41532701e-06	-8.65718179e-07
11.4127        	-7.56710640e-07	1.08794331e+00	-3.74690048e-06	-2.63016088e-06	-1.11673960e-06
11.4754        	-7.53953787e-07	1.08690909e+00	-3.75823347e-06	-2.63307052e-06	-1.12516295e-06
11.5381        	-7.45730494e-07	1.08589618e+00	-4.98355655e-06	-3.23750877e-06	-1.74604778e-06
11.6008        	-7.40862990e-07	1.08491247e+00	-7.80642816e-06	-4.64407707e-06	-3.16235109e-06
11.6635        	-7.39230052e-07	1.08396843e+00	-1.02161905e-05	-5.84732529e-06	-4.36886519e-06
11.7261        	-7.26619250e-07	1.08304698e+00	-1.28723506e-05	-7.16279455e-06	-5.70955605e-06
11.7888        	-7.29490208e-07	1.08214740e+00	-1.32924677e-05	-7.37572406e-06	-5.91674364e-06
11.8515        	-7.32344582e-07	1.08105897e+00	-1.46192359e-05	-8.04196252e-06	-6.57727335e-06
11.9142        	-7.33717136e-07	1.08011409e+00	-1.67768486e-05	-9.12214144e-06	-7.65470717e-06
11.9769        	-7.32673413e-07	1.07918981e+00	-1.87342110e-05	-1.00997789e-05	-8.63443207e-06
12.0396        	-7.28458819e-07	1.07829962e+00	-2.03214382e-05	-1.08891779e-05	-9.43226026e-06
12.1022        	-7.20549807e-07	1.07745055e+00	-2.17888920e-05	-1.16149958e-05	-1.01738962e-05
12.1654        	-7.08603382e-07	1.07648942e+00	-2.32372250e-05	-1.23272159e-05	-1.09100091e-05
12.2286        	-6.94150227e-07	1.07538593e+00	-2.57805439e-05	-1.35844222e-05	-1.21961217e-05
